Q1,您的性别,性别题
Q20,如果茶饮品牌因为采用可降解塑料吸管替代普通塑料吸管，导致产品成本上涨，产品价格随之上涨，这是否会影响您的消费欲望？,单选题
,本题选项:,
,1,完全无法接受，消费者不应该为此买单
,4,不大能够接受，消费欲望降低
,3,尽管不完全接受，但仍会照常购买
,2,完全能够接受，没有影响
Q21,如果某茶饮店默认提供纸质吸管，可以通过额外支付少量费用将其替换为与普通塑料吸管体验感无差异的可降解塑料吸管，您是否愿意支付替换？,单选题
,本题选项:,
,2,是
,1,否
Q22,从环保的角度而言，您是否支持茶饮店采用PLA（聚乳酸）可降解吸管替代普通塑料吸管这一方案？您认为此方案对于环保而言有何深远影响？,单选题
,本题选项:,
,1,支持，此举能一定程度上减少塑料污染，促进环保
,2,支持，此举能够使消费者形成新的习惯，使环保理念深入人心
,3,不支持，有应对政策的形式之嫌，并非真正意义的环保理念
,4,不支持，在消费时我仅关心消费体验，并不在乎环保问题
,5,不支持，希望茶饮店能采用其他同样环保的替代方案
Q23,如果茶饮店通过销售或赠送可反复使用的典藏茶饮杯方式来提倡环保，您对于此举的接受情况如何？,单选题
,本题选项:,
,2,十分支持，并积极响应
,1,支持其作为一种宣传或营销策略，但还是由于自带杯不如一次性杯方便而持保留态度
,3,不支持，过于麻烦，影响茶饮出货效率
,4,无所谓支持或不支持
Q24,如茶饮店采用优惠策略，如“自带杯无论多大加满”、“购买指定杯可享多次续杯”等来鼓励环保，您对此怎么看？,单选题
,本题选项:,
,2,很感兴趣，愿意尝试
,3,略有兴趣，观望态度
,1,没兴趣，继续使用一次性杯具
Q25,[选填]如果您有兴趣，可以在此留下可以联系到您的方式，我们最后可能会抽取幸运的小朋友送出小小的surprise。除此之外，您的联系方式不会被以任何形式利用和泄露。,填空题
,本题选项:,
,1,填空1
